name,index,interval,underlying_data,options_data,lot_size,strike_step,strike_method,entry_time,exit_time,premium_target_per_leg,premium_band,fixed_distance_points,target_delta_ce,target_delta_pe,lots,per_leg_sl_pct,combined_mtm_sl_rupees,combined_mtm_target_rupees,slippage_per_order_rupees,charges_per_lot_roundtrip_rupees,output_name,save_trades,strategy,status,trades,net_pnl,gross_pnl,max_drawdown,win_rate,avg_pnl,profit_factor,report_path,score
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:30,15:20,60,20,300,0.15,-0.15,1,30,3000,1500,5,40,sweep_tradebook_00023.csv,False,nifty_strangle_v1,ok,25,16293.250000000004,18793.250000000004,-4774.5,72.0,651.7300000000001,3.092701409626561,,4.13255628861661
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.25,1,30,3000,3500,5,40,sweep_tradebook_00545.csv,False,nifty_strangle_v1,ok,25,27341.999999999996,29841.999999999996,-8056.0,72.0,1093.6799999999998,3.257943307801886,,4.113992055610725
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,40,4000,3500,5,40,sweep_tradebook_00029.csv,False,nifty_strangle_v1,ok,25,16737.0,19237.000000000004,-4845.5,64.0,669.48,3.090295991007869,,4.09413270044371
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,40,3000,3500,5,40,sweep_tradebook_00978.csv,False,nifty_strangle_v1,ok,25,16737.0,19237.000000000004,-4845.5,64.0,669.48,3.090295991007869,,4.09413270044371
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:30,15:20,60,20,300,0.15,-0.15,1,30,2000,2500,5,40,sweep_tradebook_01188.csv,False,nifty_strangle_v1,ok,25,17384.0,19884.0,-5133.75,64.0,695.36,2.400439046986083,,4.026218651083516
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,40,4000,1500,5,40,sweep_tradebook_00635.csv,False,nifty_strangle_v1,ok,25,15904.500000000004,18404.5,-4845.5,68.0,636.1800000000002,3.2183555338587073,,3.962323805592819
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.15,-0.25,1,40,4000,1500,5,40,sweep_tradebook_00813.csv,False,nifty_strangle_v1,ok,25,16929.50000000001,19429.50000000001,-5292.0,76.0,677.1800000000004,2.161782871259952,,3.959074074074076
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.15,-0.15,1,30,4000,1500,5,40,sweep_tradebook_00363.csv,False,nifty_strangle_v1,ok,25,16903.749999999993,19403.749999999993,-5354.75,80.0,676.1499999999997,2.6137616649562028,,3.956776693589802
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,40,4000,2500,5,40,sweep_tradebook_00526.csv,False,nifty_strangle_v1,ok,25,21056.500000000015,23556.50000000001,-6703.5,68.0,842.2600000000006,3.0982013850829575,,3.821120310285674
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,50,2000,2500,5,40,sweep_tradebook_00624.csv,False,nifty_strangle_v1,ok,25,15287.5,17787.5,-4812.5,64.0,611.5,2.8043670699321335,,3.816623376623377
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,40,4000,3500,5,40,sweep_tradebook_00294.csv,False,nifty_strangle_v1,ok,25,21001.50000000001,23501.50000000001,-6703.5,68.0,840.0600000000004,3.0927208410144,,3.812915641083018
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,40,3000,3500,5,40,sweep_tradebook_01014.csv,False,nifty_strangle_v1,ok,25,21001.50000000001,23501.50000000001,-6703.5,68.0,840.0600000000004,3.0927208410144,,3.812915641083018
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.25,-0.25,1,30,4000,1500,5,40,sweep_tradebook_00943.csv,False,nifty_strangle_v1,ok,25,23015.249999999985,25515.249999999985,-7491.750000000004,72.0,920.6099999999994,2.714134097976054,,3.792079287215934
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,500,0.2,-0.2,1,40,4000,2500,5,40,sweep_tradebook_00344.csv,False,nifty_strangle_v1,ok,25,15254.500000000002,17754.500000000004,-4845.5,64.0,610.1800000000001,2.905145497689522,,3.7881787225260557
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,50,4000,1500,5,40,sweep_tradebook_00193.csv,False,nifty_strangle_v1,ok,26,16631.250000000004,19231.25,-5313.75,65.38461538461539,639.6634615384617,2.311224992608653,,3.783697953422725
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:30,15:20,60,20,300,0.2,-0.15,1,30,3000,2500,5,40,sweep_tradebook_00946.csv,False,nifty_strangle_v1,ok,25,24743.499999999993,27243.49999999999,-7896.000000000004,64.0,989.7399999999997,2.9161697514133036,,3.773675278622085
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,50,3000,3500,5,40,sweep_tradebook_00925.csv,False,nifty_strangle_v1,ok,26,16447.500000000007,19047.500000000007,-5313.75,61.53846153846154,632.5961538461542,2.325342465753425,,3.7106563161609047
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:30,15:20,60,20,300,0.2,-0.15,1,30,2000,2500,5,40,sweep_tradebook_00771.csv,False,nifty_strangle_v1,ok,25,23965.999999999993,26465.999999999993,-7916.000000000004,64.0,958.6399999999998,2.75055695555312,,3.6675391611925194
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:45,15:20,60,20,300,0.15,-0.25,1,30,4000,1500,5,40,sweep_tradebook_00406.csv,False,nifty_strangle_v1,ok,25,21357.749999999993,23857.749999999993,-7389.25,76.0,854.3099999999997,2.7214621073206104,,3.6503812971546497
