datetime,open,high,low,close,volume
2026-01-05 09:15:00+05:30,26770.1,26825.0,26770.1,26794.6,2860
2026-01-05 09:20:00+05:30,26791.0,26793.6,26750.0,26750.4,6110
2026-01-05 09:25:00+05:30,26750.4,26771.3,26740.1,26740.1,4030
2026-01-05 09:30:00+05:30,26740.1,26746.9,26720.0,26720.1,3315
2026-01-05 09:35:00+05:30,26720.1,26730.9,26716.7,26729.0,3120
2026-01-05 09:40:00+05:30,26729.0,26744.5,26725.0,26725.6,2990
2026-01-05 09:45:00+05:30,26725.6,26744.0,26725.0,26744.0,1430
2026-01-05 09:50:00+05:30,26744.0,26758.0,26733.2,26753.5,910
2026-01-05 09:55:00+05:30,26753.5,26771.9,26753.5,26771.9,1235
2026-01-05 10:00:00+05:30,26771.9,26776.1,26750.0,26750.0,2405
2026-01-05 10:05:00+05:30,26750.0,26788.6,26750.0,26780.7,1885
2026-01-05 10:10:00+05:30,26780.7,26792.9,26780.7,26792.9,520
2026-01-05 10:15:00+05:30,26792.9,26813.0,26785.0,26812.0,5525
2026-01-05 10:20:00+05:30,26812.0,26819.4,26804.7,26819.4,2665
2026-01-05 10:25:00+05:30,26819.4,26820.0,26812.0,26819.5,2405
2026-01-05 10:30:00+05:30,26819.5,26819.5,26805.0,26806.0,390
2026-01-05 10:35:00+05:30,26806.0,26810.0,26805.0,26806.0,1170
2026-01-05 10:40:00+05:30,26806.0,26806.0,26784.4,26800.0,1170
2026-01-05 10:45:00+05:30,26800.0,26806.3,26790.7,26806.3,325
2026-01-05 10:50:00+05:30,26806.3,26810.1,26799.9,26805.0,520
2026-01-05 10:55:00+05:30,26805.0,26809.0,26805.0,26809.0,910
2026-01-05 11:00:00+05:30,26809.0,26810.0,26792.6,26806.0,1300
2026-01-05 11:05:00+05:30,26806.0,26806.0,26800.0,26800.0,845
2026-01-05 11:10:00+05:30,26800.0,26806.3,26794.7,26805.0,1365
2026-01-05 11:15:00+05:30,26805.0,26808.1,26790.0,26790.0,1105
2026-01-05 11:20:00+05:30,26790.0,26793.7,26763.0,26764.0,2860
2026-01-05 11:25:00+05:30,26764.0,26778.7,26760.0,26778.0,1105
2026-01-05 11:30:00+05:30,26778.0,26782.1,26767.5,26767.5,1300
2026-01-05 11:35:00+05:30,26767.5,26775.0,26757.0,26767.9,1170
2026-01-05 11:40:00+05:30,26767.9,26786.1,26767.9,26780.0,585
2026-01-05 11:45:00+05:30,26780.0,26788.0,26777.6,26779.6,585
2026-01-05 11:50:00+05:30,26779.6,26780.2,26778.3,26778.3,780
